Key,Dialogue,Context
training1,よく戻った、オフィサー。最後の資格取得から結構時間が経ったな。お互い、時間を無駄にするのは良くないぞ。上達のコツは基本を完璧にすることだ。それじゃあ、お前の実力を見せてくれ。,
training10,標的が現れたら交戦しろ。,
training11,覚えておけ。サイドアームに切り替える方が、リロードよりも速いことがある。撃ち方はじめ！,
training12,良い腕だ、今度は精密射撃に焦点を当てよう。呼吸を落ち着かせ、完璧なサイトピクチャを確認してからトリガーを引け。もう一回やってみろ。,
training13,撃ち方はじめ！,
training14,近接戦闘に使える射撃体勢を試してみよう。,
training15,敵との距離が近いときは、武器を傾けて構えるんだ。,
training16,よし、武器のアタッチメントを切り替えてみろ。レーザーを使うと射撃精度を向上できる。射撃用意...,
training17,撃ち方はじめ！,
training18,LSPDの武器庫には取り付けが許可されたアタッチメントが山程ある。後で詳しく説明する。,
training19,さて、今からお前がウォームアップできているかどうか、いくつかの訓練課題をこなしてみよう。,
training2,ライフルを構えろ、始めるぞ。,
training20,すべてのターゲットを制限時間以下で倒せれば、リーダーボードに名前が載るぞ。,
training21,3-2-1 撃ち方はじめ！,
training22,それは見なかったことにしてやる。,
training23,十分だ。,
training24,見せびらかすのはやめろ。,
training25,約束通り、お前の名前がボードに載る。,
training26,,
training27,,
training28,さて、次は発展的な練習だ。テーブルからflash bangを拾え。,
training28_2,開いている窓へ投げてみろ。もっと必要なら、左にケースがあるからそこから取れ。,
training29,これらの装置は容疑者を殺さずに無力化できる貴重な手段だ。敬意を持って接しろ。,
training3,室内射撃場に移動しろ。冷静な状態で何ができるか見てみたい。,
training30,さて、お前の部隊と会う覚悟はできたか？ それともまだここで射撃の練習を続けるか？,
training31,慌てなくていい。準備ができたら扉へ進め。,
training32,では、扉を通ってシュートハウスに向かえ。,
training33,よし、今度はドアをのぞいたり開けたりできる。出会い頭に気をつけろ。,
training34,,
training35,扉が施錠されている、つまらんジョークだ。ドアを蹴破って先に進むんだ。,
training36,知っての通り君はSWATの部隊長だ。部隊が準備中の間に、命令コマンドについて振り返ろう。,
training37,さて、君の部隊は準備が整っている、コマンドで命令して整列させろ。,
training38,よし、その扉に整列（stack up）させるよう命じろ。,
training39,扉を突破するための方法は複数あるが、今回は突入して捜索（open and clear）するよう命じろ。,
training4,テーブルから弾倉を手に取り、銃に装填せよ。,
training40,部屋を捜索し、中にいる者を全員確保しろ。,
training41,よくやった！ 安全のため、容疑者と一般市民を区別できるまで、全員を拘束し、管理しなければならない。,
training42,よし、次の扉へ進め。,
training43,可能なら突入前に部屋を偵察すれば、脅威を事前に察知し、我々が有利になることができる。Optiwandは、ドアの下から次の部屋を覗き見ることができるカメラだ。,
training44,武装した容疑者がいることがわかった今、より良い突入方法を考える事ができる。だが忘れるな、我々は救命組織で、目標は容疑者を逮捕することだ。,
training45,容疑者は可能な限り確保しなければならないが、覚えておけ、時には選択肢がないこともある。,
training46,次の部屋では、君が先頭に立ち、自由に行動しろ。準備ができたら、ドアに向かってくれ。,
training47,良い仕事だ。部屋をクリアしたら、Chemlightを置くことを忘れるな。部屋が捜索済みである印になる。,
training48,いいぞ！ 次の部屋には複数の入口がある。このような場合はチームを分割し、複数の角度から作戦を立てるのが良いかもしれない。,
training49,ブルーチームに、右のドア1に整列するよう命じろ。,
training5,装填して待機せよ。今日の発砲の指令は「撃ち方はじめ！」だ。,
training50,よし、続けて赤部隊に、左のドア2に整列するよう命じろ。,
training51,君は今、チームから離れている。その場合、彼らのヘッドカメラを利用したほうがいいだろう。これにより、彼らと同じものを見ることが可能だ。,
training52,準備ができたら、ブルーチームにフラッシュバンを利用して突入（open and bang）させろ。その後、レッドチームを突入させるんだ。,
training53,素晴らしい仕事だ！エリアを確保したら、裁判で使える可能性のある証拠を見つけて報告しろ。,
training54,おめでとう。基本訓練をパスした。当然、これからもっと高度な機能やテクニックを学ぶことになるが、今は...ロス・スエノスの街が君を必要としている。,
training55,好きなだけ射撃場に滞在してもいい。次に進む準備ができたら、装甲車に乗り込め。君を本部へ連れて行ってくれる。,
training56,行け、行け！,
training57,サボっている時間はないぞ！,
training58,進め！進め！,
training6,シューター、君の番だ。私の指示でターゲットに向かって撃て。撃ち方はじめ！,
training7,ポイントシューティングは十分だ！ライフルを頬付けして、撃つ前にしっかり照準で狙うんだ。,
training8,状況に応じてセミとフルオートを切り替えることを覚えておけ。ただし、反動には気をつけろ。ただ撃つんじゃないぞ！撃ち方はじめ！,
training9,次は、サイドアームに切り替えろ。,
